	tweets	Id
0	im meeting up with one of my besties tonight! Cant wait!!  - GIRL TALK!!	1
1	@DaRealSunisaKim Thanks for the Twitter add, Sunisa! I got to meet you once at a HIN show here in the DC area and you were a sweetheart. 	1
2	Being sick can be really cheap when it hurts too much to eat real food  Plus, your friends make you soup	1
3	@LovesBrooklyn2 he has that effect on everyone 	1
4	@ProductOfFear You can tell him that I just burst out laughing really loud because of that  Thanks for making me come out of my sulk!	1
5	@r_keith_hill Thans for your response. Ihad already find this answer 	1
6	@KeepinUpWKris I am so jealous, hope you had a great time in vegas! how did you like the ACM's?! LOVE YOUR SHOW!! 	1
7	@tommcfly ah, congrats mr fletcher for finally joining twitter 	1
8	@e4VoIP I RESPONDED  Stupid cat is helping me type. Forgive errors 	1
9	crazy day of school. there for 10 hours straiiight. about to watch the hills. @spencerpratt told me too! ha. happy birthday JB! 	1
10	@naughtyhaughty HOW DID I FORGET ABOUT TWO AND A HALF MEN?!?!? I LOVE THAT SHOW!!! 	1
11	@nileyjileyluver Haha, don't worry! You'll get the hang of it! 	1
12	@soundwav2010 At least I won't be the only one feeling lost! This may cause me many later than usual nights, already addicting 	1
13	@LutheranLucciol Make sure you DM me if you post a link to that video! &lt;LOL&gt;So I don't miss it   Better get permission and blessing first?	1
14	Just added tweetie to my new iPhone 	1
15	@michellardi i really don't know. i think its Globe!  yeah! sana gumaling na ko para alam ko na din kung makakasama ako! )	1
16	@nicolerichie: your picture is very sweet 	1
17	Catching Up on Emails, RSS and Random BACN. Then I'm cutting out early tonight (11:30PM) to have Dinner with @lauraw 	1
18	Dancing around the room in Pjs, jamming to my ipod. Getting dizzy. Well twitter, you asked! 	1
19	Didn't place in the Peeps contest but thanks for voting anyways. 	1
20	Going to bed so goodnight everyone  and sweet dreams  http://twitpic.com/2y2e0	1
21	@LittleLumen walking over to put the deposit down tomorrow 	1
22	is now followinq @DAChesterFrench , you shud do tha same 	1
23	@LordPov Are you meant to add on the back of that &quot;twittering from a toilet cubicle somewhere&quot;? 	1
24	Aw i'm holding my new puppy. Well He's not mine but He's a cutie. 	1
25	@iJohn kitteh is sleepin on my crotch which proves she likes me more 	1
26	@DramaBeats agreed 	1
27	reaching amritsar in an hour and (if i find a bus) should be at wagah border by 2pm  - http://bkite.com/06fuJ	1
28	@ALBinLA.  I was just thinking about you tonight!  You have to let me be the first to interview you're a famous super star 	1
29	happy to spend time with the family. 	1
30	finally going to bed!  so tired. Was gonna watch The Hills but didnt =/	1
31	so effing tired of my throat hurting.... ooooohh... i just got a crazy craving for a pina colada/banana slushie!!!! 	1
32	@deon upload di indowebster dong banggggg 	1
33	@wisdomous you're welcome. glad you enjoyed it. 	1
34	@hawaii808shellz hAhAHA!! omG! we wer bOth laughiN off d hOOk!  cuz das hOW we roLLL...ryt sheLdawg?	1
35	@SickWithThePen awww pookie feel better. I'll pray for you...and BAG the nurse up 	1
36	YAY! found a new cuddle buddy 	1
37	I think I met my first &quot;snob&quot; on twitter tonight. Too bad. Life goes on! 	1
38	Across the Universe. Sleep. Rehearsal tomorrow. 	1
39	@annabellee dry sweet potato, huh? 	1
40	@JonathanRKnight Hi Jon! Great to hear from you! See you on the cruise, I cannot wait! Hope all is well on the Knight bus!  You are loved!	1
41	having a long conversation with mom on phone 	1
42	@suitelifeofkell yayyy! lol. i just requested herrr. what did she say? 	1
43	Practicing lines/mannerisms/voices for upcoming feature shoot.  Probably driving Brock crazy.  	1
44	Going to go and read new moon for the 3rd time  I cant get enough of twilight series 	1
45	today is our two month anniversary!!! i love you sooooooo much Diana. omg you dont even know  TAR HEELS WON THE NCAA WOOT!!!!!	1
46	I am bored 	1
47	@stevecla it is a wallpaper with Red Square I was asking for 	1
48	@r_keith_hill Thanks for your response. Ihad already find this answer 	1
49	@Pope_Mello Well yeah! I only noticed cuz i'm BB too. 	1
50	Just tryna get inspired thats all 	1
51	@KourtneyKardash Can't get up early enough!!!  Night workouts are much better. 	1
52	@ladygaga Can't wait to see ur hot ass in Austin! woot woot!!! annnd love the bob with purple, i went the royal color way as well 	1
53	@QuotableBuffy I got a bunch of Buffy songs too! One of my faves is &quot;Vivian&quot; by Nerf Herder, when Faith met Spike in Buffy's body. 	1
54	#Devunity Wallpaper  Check this out !   --&gt;    http://twitpic.com/2y2e2	1
55	Morning Tweetland, a long day ahead! Hope everyone has a great day  	1
56	   uploading pictures on friendster 	1
57	@ash_CT Aw dont you love that  I love for those days! Thanks about the pic ;-p	1
58	noodlebox with amanda tonight 	1
59	@una_avion2010 Sorrry, I'm doing like 29823782 different things. Kevin Jonas' Girlfriend 	1
60	@fuzeb they are so serious too while singing like.. whoa  hehe lsd maybe? j/k lolol	1
61	loving life... and loving you 	1
62	@ApothecaryJeri  I love Sicilians best damn pizza on the planet [says I] 	1
63	loves chocolate milk  and that is GF YEAH..	1
64	Going to Sutter Creek tomorrow to tour an old Mine 	1
65	@bodycoach I'll look into that cho, I personally like strawberry but I'm going to become coach soon 	1
66	@little__fish guess where i live. the other side of the earth  east mesa, losiento	1
67	@paula_paige3489 so apart from the sore... how was the tryouts? 	1
68	failed physics TEST... what a homo. keeen for the holidays (2 days to go) 	1
69	Just observed the update look of #Alexa website, http://tinyurl.com/c48gzf , looks great, seems Alexa is improving 	1
70	@leiabox so what can you tell us about it? I'm totally geeking out right now 	1
71	@theragingocean BonJour Spacecowboy,I wish I was either of it .I work with Kids, can go out whenever I want and go wherever I want to 	1
72	@Rebecca1158 goodnight. 	1
73	My brother is sick too lol. Quite weird 	1
74	@drdrew *gives a hug and a cookie* Hope you feel better! 	1
75	@jonathanRKnight Hey Jon! It's real and I hope you take care of yourself...we don't want you to get too rundown.  ((Hugs))	1
76	Just wrote on a toilet wall... but only to correct poor spelling. And in highlighter, so it will wash off. HARDCORE 	1
77	had a good tech meeting at clubZone - dinner was sushi 	1
78	@mattgalloway Thanks for the hook up with @CarlyRush and suggesting me again bro! you rock! 	1
79	@jeffswarens depends on which version they thought you  the one I know doesn't go like that ;)	1
80	@Speak2Ashley hand is still pretty weak i cant like punch anyone out yet or turn knobs but it doesnt hurt much 	1
81	@Honey3223 Lurkers now that was interesting 	1
82	@saravananp mine is B North. Still need to decide 'aaru hithavaru ninage ee moovaroLage' to vote 	1
83	@trstfndbby um I bought my shit from the Koreans its OACH  highest quality out there baby  I paid an extra 3.50 2 get a real tag sewed in	1
84	eating ice-cream with chocolate topping 	1
85	@iamdiddy your telling me.. just finished doing 200 crunches!  step it up Diddy ! LETS GO!	1
86	@its_yvonne daaang i didn't know it was possible to talk that long! what'd you guys talk about 	1
87	@LaurUy West.  Mostly San Jose and San Francisco.	1
88	Nikki is off working her ass off on a bike, trying to recover from her knee injury.  (Good for her. 	1
89	@marymayblood I would love to come help unpack   Let me know where I need to be Sat afternoon!	1
90	shenagians!  my team is awesome&lt;3	1
91	listening to some music and just chilling....I'll probably regret not getting work done...but till then i'm just gonna kick back 	1
92	I am doing a study of Think &amp; Grow Rich - Wow - it's amazing how timeless the law of attraction is! So now we're on our 6 step program! 	1
93	@BittenbyBooks Oh good!  I'm glad you're feeling better!   I've been really good!  It'll be a crazy week though... In a good way! 	1
94	21 Days till chris comes home and 67 days till summer 	1
95	@davidgideon Yeah, those were the days  - no, it's now around 1.47ish...	1
96	@therealjspace am I the first one to tell you you tweet the most while drinking! LOL. 	1
97	@its_anne Kay thanks. 	1
98	Goodnight 	1
99	I am determined to get back into baseball -- it's been 5 years since I've really watched the sport. Anyone interested in going to a game? 	1
100	@beycah Good for you Becca, have a good sleep. 	1
101	@MissNappyBoy and ur home is where? ohhh i nkow lexington ky rite next to me 	1
102	Just seen the preview for the movie &quot;Obsessed&quot; w/ Beyonce. Wow one crazy broad in that movie &amp; Beyonce seems to go nuts in it too! 	1
103	Easy Rider till I fall asleep 	1
104	@miketomalaris I'm very, very, very excited about the live broadcast of Paris-Roubaix. 	1
105	just had a real good moment. i missssssssss him so much, 	1
106	@belliestobabies I have two too. I just don't know how people survive winter without jungle gyms at home 	1
107	@jaredleto Just started to work. But it's the last one before holidayholiday!! 	1
108	Watchin Greek then off to Knighty Knight!! 	1
109	i am working on my media room design and i love love love my client profile 	1
110	@Greeks05 its pretty lame..hahaha but yay i get to stalk your sexy ass on here now 	1
111	@Lou911 Aww, thanks 	1
112	Another good day  nitey nite everyone! First day of school tomorrow!!! Ahh I'm kinda nervous yet excited...til tomorrow!	1
113	thinking and planning 	1
114	Good enough.. time to go sleep off whatever I can, be happier tomorrow ? here's Hopin.. go check my Fb. for what is in store for me now. 	1
115	@missvic what do you mean, I do those things now and I'm OLD! 	1
116	@jimmyeatworld been listening to that all morning  http://www.deezer.com/track/885843	1
117	@UrbanThai  and you have me to thank for that 	1
118	@PamFR Thanks Pam... glad you enjoyed it. Yes, life is short, it's *now*. No need to struggle... just make better choices every day. 	1
119	@JonathanRKnight hmm you have a lot to say tonight! That's great!  Of course, here I am up late reading it. haha	1
120	@guykawasaki congrats on 100,000 followers. Wow almost 4 times of what I have 	1
121	@LarryCarroll ARE WE GOING TO BE GETTING ANY NM UPDATES THIS TIME AROUND? I'm not really screaming. Just wondering. Thanks! 	1
122	@suitelifeofkell that's freakin' cooool   i love twitter .haha	1
123	@I3renda maybe. there's nothing wrong with being caring. but try not to care too much. 	1
124	why does Brissa not even know she has a twitter? -Lauren 	1
125	@jbrotherlove I thought it was a great love story 	1
126	@enbaldarlingg No, that's just the mirror you're looking in. 	1
127	@amandahesser thanks!  i couldn't have done it without you  	1
128	wow that was neat, thanks God! OVERITNOW&lt;3  i apologize for sharing my spiritual moment with the general public of Twitter 	1
129	... 31 days until I leave for Ontario!! 	1
130	Just spoke with my fam in #Japan via #Skype! Love to see my little 16-mo-old nephew growing! 	1
131	@LissyM ahh i only just saw you'd written that where does it tell you that someones spoken to you? this sucks but mcfly got it haha loser 	1
132	@KaciMaureen holy laundry woman! 	1
133	@iamdiddy I hate it too, but I just got back from the trainer. Go! 	1
134	@markhoppus lol youï¿½re so fucking funny 	1
135	working on setting up my ipod touch, which as of today is officially mine!! 	1
136	@nikhilnarayanan saw the tvc yesterday.. worked for me 	1
137	Jon could totally say Mannies and Peddies and I would shut my fat face about it.  	1
138	@magopus Hahaha! Well if they ever run out of ideas, I'm nominating you to come up with some good ones. 	1
139	A friend feels like a beer on a Monday night. That's never good. But beer is always good. Always. 	1
140	@hopeinhell One usually follows the other, no? 	1
141	@special72 Thanks, Special 72!  	1
142	Good luck for Lauren and the rest of the cast of TBS, can't wait for something to leak 	1
143	Shoot For The Moon! Even if you miss, you'll land among the stars. 	1
144	@JohnHays hmm, that I don't agree with entirely because I am most creative &amp; vibrant @ night for some reason...but I need 2 sleep too 	1
145	@izzakizza nada just tryna holla holla.   hows the mixtape coming up?	1
146	@aussie_ali  yep it makes it so much easier to get points across in 140 	1
147	@snarkattack  The freezer-worthy @amoir has already given it her scholarly attention, but I suppose another set of eyes could hurt not.	1
148	http://twitpic.com/2y2jf - my cupcakes 	1
149	@purrplexa And its a wonderful thing!  I'm all in favor of using the entire English language (shit, I use #expletives too, I think) 	1
150	@mynameisgerard haha! i'm not saying u should try it.. but maybe u should 	1
151	back from school, long walk! its flippin cold outside  2 days ago it was sunny, next day raining, and today snowing!	1
152	@sisterpatterson I just ate raw cookie dough out of a tub and now to bed. We must be kindred spirits 	1
153	@JonathanRKnight : agreed. internet? random. but i like random. watched dirty dancing, great movie, i thought of your song..  nighty night	1
154	@blooms5887 Just use Tweetdeck and you can update facebook and twitter at the same time 	1
155	@firestoned - Dude, stars are always awesome.    Surprised to see you tweeting.	1
156	@nsastrasasmita k. i'll try to figure it out. i'm gonna go to bed. night night  	1
157	amazing night with llama and malcolm and megan&lt;---fuck the theatre! 	1
158	@kayotae Just had a martini myself. 	1
159	city all day soo happy to be home. school in the morning 	1
160	My spring break= watching moviess all day everyday for a week 	1
161	@PushPlayNICK &quot;Grandpa wants an ice chest and some beef.&quot;  George Lopez rulesss!	1
162	@KatiePorrello thank you Katie! heading to the club as we speak! you have yourself a stellar night as well... take it easy homey!! 	1
163	http://www.youtube.com/watch?v=cLe9pJSRas0 Where have all the flowers gone, Peter Paul &amp; Mary  My fav, def.	1
164	shhhhhhhhhh....time to watch the Hills. 	1
165	since posting the 2 new photos on my website with the kids my hit count went up...way, way, way up. love to china for 5,000 views alone. 	1
166	@JonathanRKnight Oh its real Jon!  We all r so excited that u and the guys came back 4 us.  We appreciate all you put out there!  	1
167	@LonelyBob Thank you! Am at home pretty much everywhere. Provided I have broadband ...kiddin' 	1
168	Callin it a night! I always have the best sleep after a good workout!! 	1
169	@Infinitarchitek Feels pretty good doesn't it? 	1
170	@stee322 but you did go to hash bash anyway.. 	1
171	@loltothepower correction, i GOT a badass fringe. 	1
172	@procoder hmmm, sure sure  so what r u upto ? hows the day for u?	1
173	@ninasplayground I agree.  My kids got &quot;Who am I&quot; 4 Christmas. It's bn fun but I caught my 4 yrold cheating by looking at reflection in TV	1
174	My hair is blue. 	1
175	@wendy_bowser Thank you for the kind words!  I appreciate it.  Have a great night 	1
176	stressing over this math test...uhhh....2 days till spring break!!!! 	1
177	@MintCool uh, because we really need each other, plus, you'd be my designated driver on PCH 	1
178	@EMPRESSYEN WHATCHA CHUCKLIN BOUT MS.YEN 	1
179	@ijustine the gym is an awesome place! work it out 	1
180	@augustography hmmm think we need to get you climbing up hills .. you'll be really sining then 	1
181	Just won 20$ on unc game 	1
182	Really tired. Going to prepare for bed. G'night! 	1
183	@keyannaaa the new story of your life will include magic fountain with me 	1
184	Im getting nervous that this trip tomorrow may be a little boring. Haha oh well, i always have my trusty ipod and my books of course  lol	1
185	should be going to bed... maybe i'll do that... but i'm thinking I'll put on Anastasia on my laptop as i fall asleep 	1
186	@ijustine http://twitpic.com/1ff65 - I love ur top 	1
187	still buzzing from SIETAR... thanks to @pattidigh for pushing the old boundaries - boy, someone could make money off a twitter manual... 	1
188	@yoshigi I have terrible back and neck aches too... Get a good chair, that will help.  I am waiting for my &quot;SWOPPER&quot; to arrive. 	1
189	@juneaurock Hellz yeah, definitely downloading. Thanks 	1
190	http://twitpic.com/2y2jz - we are so stinkin cute 	1
191	@Lyndeeezy hahah not yet! but soon. very soon 	1
192	Very happy with my new blog design - nice to see recent post and popular posts listed together, and it looks great! 	1
193	@michaelgrainger we have much more than that in common my friend!! 	1
194	@ben_mayer better be. I don't wanna have to come find u and save the dog. But I would!  I'm all 4 the animals . Call off the twit police	1
195	@klaris nilagyan mo ng knorr seasoning mix ulit ung pancakes mo?! hehehe. teka, heaven and eggs ba to? 	1
196	@Westneyrhindxx hello westney  what are you doing ?? x	1
197	@WhereisKevinn well my night seems pretty boring in comparison to the strokes you've experienced tonight 	1
198	@jephjacques I love the way you draw giraffe eyelashes. 	1
199	@SwitchItNow ahhh shiner Bock in Austin YES! thanks for the Twitter @reply so I can relive too 	1
200	@holytshirt Glad to read it! 	1
201	spent the evening outside in the beautiful warm weather. finally feels like spring 	1
202	pullin an all nighter wit my bffl madison 	1
203	@AttractMode Thanks for putting on such a great event. Can't wait for the inevitable sequels! 	1
204	I don't know why I still find this hilarious after hearing it like 200 times in a row, but I doooo  ? http://blip.fm/~3x8ok	1
205	@thenub you are too 	1
206	@jimmycarr that big oaf can play piano? 	1
207	Bryon is my tea bitch 	1
208	@mattbraga Oh, they can stay. You on the other hand... 	1
209	I am gonna help my mom get a twitter 	1
210	@lavsmohan...... Yup!! saw the entire match....reached office late.. 	1
211	going to bed. My bb isn't working &amp; I'm bored.  Night all. Love me harder tomorrow, than you did today. Peace, Prayers, &amp; Blessings.	1
212	@DEEJAY_BOOGIE ya we did trying to beat traffic but ya hope to be back soon 	1
213	India wins a test series in New Zealand after 41 years! If it wasnt for rain on the final day, India would have won the third test too 	1
214	@ashvala Was driving in Old madras road on my bike!! There is no concept called parking on the side 	1
215	@upstatement can I apply to be in your class too? 	1
216	is reading manga  http://plurk.com/p/mzp1e	1
217	@BradmanTV Thanks....it seemed the right moment. I love your show.  Your songs bring me joy.	1
218	@Adri_Mane ROflmao... niqqa please. you ackin' a fool now. 	1
219	@comeagainjen http://twitpic.com/2y2lx - http://www.youtube.com/watch?v=zoGfqvh2ME8 	1
220	@vjl also, your website seems to be down, FYI. pity, I wanted to check it out  sure you knew that though.	1
221	@LindzNicole so let's make it right! 	1
222	@Lexi_83 We.... went professional in October 2008, we've just not update any of our websites or anything until yesterday 	1
223	@rhonda_brown thanks for the tip on Sam's Club! 	1
224	@KourtneyKardash yep Mornings are the Best! nighttime is chill time 	1
225	@pocketfulofme yay!!! hehe TWINS 	1
226	@jolilore Thank you 	1
227	&quot;City of Ember&quot; was AWESOME!!! SO have to finish the book and read the next one (ones?) now.  Time for bed possibly? Who knows, really. XD	1
228	OMG, I would have died!!! actually no, I take that back...I keep an updated version on my X:drive so it's all good 	1
229	@trugiaz You and i mate! 	1
230	 just watched the movie Wanted... it was pretty darn good.	1
231	just got home from Neil's. watched Nick &amp; Nora's Playlist... pretty funny  	1
232	@theexclamation ah yes, twitter seems to be the perfect venue for whining and wasting time.  now that's my idea of fun 	1
233	@donniewahlberg hell yeah! there's the effin man! 	1
234	@roshnimo Dont be lazy............try a few out.... tools are to make life easy for lazy people 	1
235	@aiduong Oh goodness, I didn't know you could message friends on here! Hello Ai 	1
236	Thinks everyone needs to go buy Tina Parol's song Who's Got Your Money on iTunes ... NOW! 	1
237	can't wait for vegas 	1
238	@theDebbyRyan Hey Debby 	1
239	One sixty six in bowling. Holy shit lol 	1
240	dear dbq, you were a pain in the asssss. i'm glad i'm DONE with you! 	1
241	and now off to bed after an amazing night chatting with a pretty amazing guy  ( you know who you are)	1
242	@lhawthorn What a coincidence! I was just stalking your Twitter feed and the GSoC news. ;) I'm doing great, thanks. How about you? 	1
243	has discovered that she loves easter crafts, eggs, hot cross buns... feel like watching the prince of egypt to aid my easter meditations 	1
244	Didn't get my nap before, thinking I really need one now. Be back later, twitterpeeps. 	1
245	Trying to figure out a way to pay it forward 	1
